"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 28 17:52:18 EEST 2021","Mon Jun 28 17:52:18 EEST 2021","142","","Verifying all elements are on page","","Verifying all elements are on page","Verifying h1 element is displayed correctly","Verifying h1 element is displayed correctly",""
"passed","Mon Jun 28 17:52:18 EEST 2021","Mon Jun 28 17:52:18 EEST 2021","77","","Verifying all elements are on page","","Verifying all elements are on page","Checking username field displayed correctly","Checking username field displayed correctly",""
"passed","Mon Jun 28 17:55:57 EEST 2021","Mon Jun 28 17:56:01 EEST 2021","3548","","Testing username under difference data","","Testing username under difference data","Sending random pass to password field and random email to username field","Sending random pass to password field and random email to username field",""
"passed","Mon Jun 28 17:52:19 EEST 2021","Mon Jun 28 17:52:19 EEST 2021","58","","Verifying all elements are on page","","Verifying all elements are on page","Checking login button displayed correctly","Checking login button displayed correctly",""
"passed","Mon Jun 28 17:52:18 EEST 2021","Mon Jun 28 17:52:18 EEST 2021","335","","Verifying all elements are on page","","Verifying all elements are on page","Checking logo displayed correctly","Checking logo displayed correctly",""
"passed","Mon Jun 28 18:08:57 EEST 2021","Mon Jun 28 18:09:08 EEST 2021","10909","","Testing username under difference data","","Testing username under difference data","Sending random pass to password field and random email to username field","Sending random pass to password field and random email to username field",""
"passed","Mon Jun 28 17:52:16 EEST 2021","Mon Jun 28 17:52:18 EEST 2021","1665","","Verifying all elements are on page","","Verifying all elements are on page","Verifying url is correct","Verifying url is correct",""
"passed","Mon Jun 28 17:52:18 EEST 2021","Mon Jun 28 17:52:19 EEST 2021","204","","Verifying all elements are on page","","Verifying all elements are on page","Verifying password field displayed correctly","Verifying password field displayed correctly",""
"passed","Mon Jun 28 17:56:01 EEST 2021","Mon Jun 28 17:56:02 EEST 2021","1526","","Testing username under difference data","","Testing username under difference data","Sending random pass to password field and random name to username field","Sending random pass to password field and random name to username field",""
"failed","Mon Jun 28 18:09:08 EEST 2021","Mon Jun 28 18:09:12 EEST 2021","4041","","Testing username under difference data","","Testing username under difference data","Sending random pass to password field and random name to username field","Sending random pass to password field and random name to username field",""
